data,moeda,close,media_movel_200
2025-02-20,ETH/USDT,2738.04,2932.0009999999997
2025-02-21,ETH/USDT,2663.0,2933.21805
2025-02-22,ETH/USDT,2763.22,2934.7275000000004
2025-02-23,ETH/USDT,2819.69,2937.11195
2025-02-24,ETH/USDT,2513.52,2936.2670500000004
2025-02-25,ETH/USDT,2495.7,2935.7516499999997
2025-02-26,ETH/USDT,2336.37,2934.3839000000003
2025-02-27,ETH/USDT,2307.72,2933.1456000000007
2025-02-28,ETH/USDT,2237.59,2930.7220500000003
2025-03-01,ETH/USDT,2217.39,2928.2968
2025-03-02,ETH/USDT,2518.11,2927.5801
2025-03-03,ETH/USDT,2149.01,2925.4757
2025-03-04,ETH/USDT,2171.51,2923.3696
2025-03-05,ETH/USDT,2241.59,2921.505
2025-03-06,ETH/USDT,2202.2,2919.4552499999995
2025-03-07,ETH/USDT,2141.6,2916.98145
2025-03-08,ETH/USDT,2203.58,2915.1352500000003
2025-03-09,ETH/USDT,2020.41,2912.08375
2025-03-10,ETH/USDT,1865.1,2908.2948499999998
2025-03-11,ETH/USDT,1923.43,2904.0995999999996
2025-03-12,ETH/USDT,1908.2,2899.8006
2025-03-13,ETH/USDT,1864.59,2895.3929
2025-03-14,ETH/USDT,1924.68,2891.61385
